id,name,artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7m9OqQk4RVRkw9JJdeAw9,Jocelyn Flores,XXXTENTACION,Hip-Hop/Rap,0.872,0.391,0,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,134.021,119133,4
0tgVpDi06FyKpA1z0VMD4,Perfect,Ed Sheeran,Pop,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,3
5IaHrVsrferBYDm0bDyAB,Taste (feat. Offset),Tyga,Hip-Hop/Rap,0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959,4
6kPJZM97LwdG9QIsT7khp,Solo (feat. Demi Lovato),Clean Bandit,Dance/Electronic,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66E-05,0.35,0.565,105.005,222653,4
75ZvA4QfFiZvzhj2xkaWA,I Fall Apart,Post Malone,R&B,0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,223347,4
63SevszngYpZOwf63o61K,Nevermind,Dennis Lloyd,Pop,0.592,0.691,3,-8.354,1,0.196,0.156,9.78E-06,0.418,0.0796,99.976,156600,4
2hl6q70unbviGo3g1R7uF,?chame La Culpa,Luis Fonsi,Reggaeton,0.726,0.889,0,-3.655,1,0.0429,0.0328,0,0.0925,0.649,96.024,173720,4
0d2iYfpKoM0QCKvcLCkBa,Eastside (with Halsey & Khalid),benny blanco,Pop,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,4
4eWQlBRaTjPPUlzacqEeo,Never Be the Same,Camila Cabello,Pop,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,226973,4
0tBbt8CrmxbjRP0pueQky,Wolves,Selena Gomez,Dance/Electronic,0.72,0.807,11,-4.59,0,0.0432,0.129,0,0.183,0.305,124.946,197993,4
7AFASza1mXqntmGtbxXpr,changes,XXXTENTACION,R&B,0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,121887,4
0E9ZjEAyAwOXZ7wJC0PD3,In My Mind,Dynoro,Dance/Electronic,0.694,0.77,6,-5.335,1,0.149,0.176,1.10E-05,0.118,0.163,125.905,184560,4
1cS0TgbR263ey9jn0MwD2,River (feat. Ed Sheeran),Eminem,Hip-Hop/Rap,0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,221013,4
6KuqAtoeVzxAYOaMveLNp,Dura,Daddy Yankee,Reggaeton,0.791,0.848,1,-3.456,1,0.0506,0.183,0,0.409,0.828,95,200480,4
2xLMifQCjDGFmkHkpNLD9,SICKO MODE,Travis Scott,Hip-Hop/Rap,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
